t (s),S,dark,blank,T_S,T_dark,l (cm),c_tot (M)
90.0,0.08972655,0.057912450000000004,0.16599,0.5405539490330743,0.34889119826495574,0.0004,0.007235917510763108
234.0,0.08926685000000001,0.057912450000000004,0.16599,0.5377845050906682,0.34889119826495574,0.0004,0.007235917510763108
378.0,0.09025665,0.057912450000000004,0.16599,0.5437475149105367,0.34889119826495574,0.0004,0.007235917510763108
528.0,0.08731205,0.057912450000000004,0.16599,0.5260078920416893,0.34889119826495574,0.0004,0.007235917510763108
672.0,0.0908612,0.057912450000000004,0.16599,0.54738960178324,0.34889119826495574,0.0004,0.007235917510763108
816.0,0.088339,0.057912450000000004,0.16599,0.5321947105247304,0.34889119826495574,0.0004,0.007235917510763108
960.0,0.08662125000000001,0.057912450000000004,0.16599,0.5218461955539491,0.34889119826495574,0.0004,0.007235917510763108
1104.0,0.08819725,0.057912450000000004,0.16599,0.5313407434182782,0.34889119826495574,0.0004,0.007235917510763108
1248.0,0.08796095000000001,0.057912450000000004,0.16599,0.5299171636845593,0.34889119826495574,0.0004,0.007235917510763108
1398.0,0.0849024,0.057912450000000004,0.16599,0.5114910536779325,0.34889119826495574,0.0004,0.007235917510763108
1542.0,0.0864087,0.057912450000000004,0.16599,0.5205656967287187,0.34889119826495574,0.0004,0.007235917510763108
1686.0,0.08716774999999999,0.057912450000000004,0.16599,0.5251385625640098,0.34889119826495574,0.0004,0.007235917510763108
1830.0,0.08020805,0.057912450000000004,0.16599,0.48321013314055067,0.34889119826495574,0.0004,0.007235917510763108
1974.0,0.08388065,0.057912450000000004,0.16599,0.5053355623832761,0.34889119826495574,0.0004,0.007235917510763108
2118.0,0.08543375,0.057912450000000004,0.16599,0.5146921501295258,0.34889119826495574,0.0004,0.007235917510763108
2268.0,0.0868875,0.057912450000000004,0.16599,0.5234502078438461,0.34889119826495574,0.0004,0.007235917510763108
2412.0,0.0891249,0.057912450000000004,0.16599,0.536929333092355,0.34889119826495574,0.0004,0.007235917510763108
2556.0,0.0866894,0.057912450000000004,0.16599,0.5222567624555696,0.34889119826495574,0.0004,0.007235917510763108
2700.0,0.08881895000000001,0.057912450000000004,0.16599,0.5350861497680584,0.34889119826495574,0.0004,0.007235917510763108
2844.0,0.0890377,0.057912450000000004,0.16599,0.5364040002409783,0.34889119826495574,0.0004,0.007235917510763108
2988.0,0.08737349999999999,0.057912450000000004,0.16599,0.5263780950659678,0.34889119826495574,0.0004,0.007235917510763108
3138.0,0.08688245,0.057912450000000004,0.16599,0.5234197843243569,0.34889119826495574,0.0004,0.007235917510763108
74610.0,0.07952225,0.057912450000000004,0.16599,0.4790785589493343,0.34889119826495574,0.0004,0.007235917510763108
74754.0,0.0784352,0.057912450000000004,0.16599,0.472529670462076,0.34889119826495574,0.0004,0.007235917510763108
74898.0,0.0776638,0.057912450000000004,0.16599,0.4678824025543708,0.34889119826495574,0.0004,0.007235917510763108
