t (s),S,dark,blank,T_S,T_dark,l (cm),c_tot (M)
90.0,0.13534330297261493,0.04658065,0.1656245,0.8171695792145179,0.28124250941134915,0.0004,0.008717073349496595
234.0,0.118034011684358,0.04658065,0.1656245,0.7126603351820412,0.28124250941134915,0.0004,0.008717073349496595
378.0,0.10801226831972599,0.04658065,0.1656245,0.652151513331216,0.28124250941134915,0.0004,0.008717073349496595
528.0,0.09830385446548474,0.04658065,0.1656245,0.5935344980089584,0.28124250941134915,0.0004,0.008717073349496595
672.0,0.09160610381513834,0.04658065,0.1656245,0.5530951267181989,0.28124250941134915,0.0004,0.008717073349496595
816.0,0.0910943606868386,0.04658065,0.1656245,0.55000534755932,0.28124250941134915,0.0004,0.008717073349496595
960.0,0.0732633867301047,0.04658065,0.1656245,0.4423463118687434,0.28124250941134915,0.0004,0.008717073349496595
1104.0,0.07804606575518844,0.04658065,0.1656245,0.4712229516477842,0.28124250941134915,0.0004,0.008717073349496595
1248.0,0.08549198973923916,0.04658065,0.1656245,0.5161796095338501,0.28124250941134915,0.0004,0.008717073349496595
1398.0,0.0665145018137991,0.04658065,0.1656245,0.4015982044552533,0.28124250941134915,0.0004,0.008717073349496595
1452.0,0.07204769999999999,0.04658065,0.1656245,0.4350062943586244,0.28124250941134915,0.0004,0.008717073349496595
1596.0,0.07692109999999999,0.04658065,0.1656245,0.46443068507376617,0.28124250941134915,0.0004,0.008717073349496595
1740.0,0.06868465,0.04658065,0.1656245,0.41470102551252985,0.28124250941134915,0.0004,0.008717073349496595
1884.0,0.0701193,0.04658065,0.1656245,0.4233630893980057,0.28124250941134915,0.0004,0.008717073349496595
2027.9999999999998,0.05889305,0.04658065,0.1656245,0.35558175269963077,0.28124250941134915,0.0004,0.008717073349496595
2178.0,0.060225,0.04658065,0.1656245,0.36362373924147695,0.28124250941134915,0.0004,0.008717073349496595
2322.0,0.06057815,0.04658065,0.1656245,0.36575597209350064,0.28124250941134915,0.0004,0.008717073349496595
2466.0,0.06367625,0.04658065,0.1656245,0.38446153799709587,0.28124250941134915,0.0004,0.008717073349496595
2610.0,0.06112765,0.04658065,0.1656245,0.36907371795839383,0.28124250941134915,0.0004,0.008717073349496595
2754.0,0.0607525,0.04658065,0.1656245,0.36680865451669287,0.28124250941134915,0.0004,0.008717073349496595
2898.0,0.06039495,0.04658065,0.1656245,0.36464985554673374,0.28124250941134915,0.0004,0.008717073349496595
3048.0,0.058852,0.04658065,0.1656245,0.35533390289480116,0.28124250941134915,0.0004,0.008717073349496595
3192.0,0.06257209999999999,0.04658065,0.1656245,0.3777949518338168,0.28124250941134915,0.0004,0.008717073349496595
3336.0,0.05395245,0.04658065,0.1656245,0.32575162491056575,0.28124250941134915,0.0004,0.008717073349496595
3480.0,0.06577735000000001,0.04658065,0.1656245,0.3971474630866811,0.28124250941134915,0.0004,0.008717073349496595
3624.0,0.0611991,0.04658065,0.1656245,0.36950511548714104,0.28124250941134915,0.0004,0.008717073349496595
3768.0,0.054808949999999995,0.04658065,0.1656245,0.3309229612768642,0.28124250941134915,0.0004,0.008717073349496595
3918.0,0.0560991,0.04658065,0.1656245,0.3387125696983236,0.28124250941134915,0.0004,0.008717073349496595
4062.0,0.0596642,0.04658065,0.1656245,0.36023776675552227,0.28124250941134915,0.0004,0.008717073349496595
4206.0,0.056207999999999994,0.04658065,0.1656245,0.33937008111722594,0.28124250941134915,0.0004,0.008717073349496595
4350.0,0.0626785,0.04658065,0.1656245,0.3784373688675286,0.28124250941134915,0.0004,0.008717073349496595
4494.0,0.05385895,0.04658065,0.1656245,0.3251870949044374,0.28124250941134915,0.0004,0.008717073349496595
