t (s),S,dark,blank,T_S,T_dark,l (cm),c_tot (M)
90.0,0.11435999999999999,0.0889568,0.16599,0.688957166094343,0.5359166214832219,0.0003,0.0057152483772252745
234.0,0.111537,0.0889568,0.16599,0.6719501174769564,0.5359166214832219,0.0003,0.0057152483772252745
378.0,0.11281350000000001,0.0889568,0.16599,0.6796403397795049,0.5359166214832219,0.0003,0.0057152483772252745
528.0,0.112651,0.0889568,0.16599,0.6786613651424784,0.5359166214832219,0.0003,0.0057152483772252745
672.0,0.11355499999999999,0.0889568,0.16599,0.6841074763539972,0.5359166214832219,0.0003,0.0057152483772252745
816.0,0.1116655,0.0889568,0.16599,0.6727242604976204,0.5359166214832219,0.0003,0.0057152483772252745
960.0,0.11071249999999999,0.0889568,0.16599,0.6669829507801674,0.5359166214832219,0.0003,0.0057152483772252745
1104.0,0.111757,0.0889568,0.16599,0.6732754985240075,0.5359166214832219,0.0003,0.0057152483772252745
1248.0,0.11036,0.0889568,0.16599,0.6648593288752335,0.5359166214832219,0.0003,0.0057152483772252745
1398.0,0.1121695,0.0889568,0.16599,0.6757605879872282,0.5359166214832219,0.0003,0.0057152483772252745
1542.0,0.114035,0.0889568,0.16599,0.6869992168202904,0.5359166214832219,0.0003,0.0057152483772252745
1686.0,0.117794,0.0889568,0.16599,0.7096451593469486,0.5359166214832219,0.0003,0.0057152483772252745
1830.0,0.11160049999999999,0.0889568,0.16599,0.6723326706428098,0.5359166214832219,0.0003,0.0057152483772252745
1974.0,0.1104725,0.0889568,0.16599,0.6655370805470209,0.5359166214832219,0.0003,0.0057152483772252745
2118.0,0.110406,0.0889568,0.16599,0.6651364540032533,0.5359166214832219,0.0003,0.0057152483772252745
2268.0,0.11337649999999999,0.0889568,0.16599,0.6830321103680944,0.5359166214832219,0.0003,0.0057152483772252745
2412.0,0.1121155,0.0889568,0.16599,0.6754352671847702,0.5359166214832219,0.0003,0.0057152483772252745
2556.0,0.115245,0.0889568,0.16599,0.694288812579071,0.5359166214832219,0.0003,0.0057152483772252745
2700.0,0.1114135,0.0889568,0.16599,0.6712060967528164,0.5359166214832219,0.0003,0.0057152483772252745
2844.0,0.11476349999999999,0.0889568,0.16599,0.6913880354238207,0.5359166214832219,0.0003,0.0057152483772252745
2988.0,0.1117345,0.0889568,0.16599,0.67313994818965,0.5359166214832219,0.0003,0.0057152483772252745
3138.0,0.111456,0.0889568,0.16599,0.6714621362732694,0.5359166214832219,0.0003,0.0057152483772252745
3282.0,0.1110665,0.0889568,0.16599,0.6691156093740587,0.5359166214832219,0.0003,0.0057152483772252745
3426.0,0.108554,0.0889568,0.16599,0.6539791553708054,0.5359166214832219,0.0003,0.0057152483772252745
3570.0,0.12903799999999999,0.0889568,0.16599,0.7773841797698656,0.5359166214832219,0.0003,0.0057152483772252745
3714.0,0.0916567,0.0889568,0.16599,0.5521820591601904,0.5359166214832219,0.0003,0.0057152483772252745
3858.0,0.1145145,0.0889568,0.16599,0.6898879450569312,0.5359166214832219,0.0003,0.0057152483772252745
4008.0,0.1120525,0.0889568,0.16599,0.6750557262485692,0.5359166214832219,0.0003,0.0057152483772252745
4152.0,0.110129,0.0889568,0.16599,0.6634676787758299,0.5359166214832219,0.0003,0.0057152483772252745
4296.0,0.1104575,0.0889568,0.16599,0.6654467136574492,0.5359166214832219,0.0003,0.0057152483772252745
4440.0,0.109704,0.0889568,0.16599,0.6609072835712995,0.5359166214832219,0.0003,0.0057152483772252745
4584.0,0.104091,0.0889568,0.16599,0.627091993493584,0.5359166214832219,0.0003,0.0057152483772252745
4728.0,0.11180999999999999,0.0889568,0.16599,0.6735947948671607,0.5359166214832219,0.0003,0.0057152483772252745
4878.0,0.1172015,0.0889568,0.16599,0.706075667208868,0.5359166214832219,0.0003,0.0057152483772252745
5022.0,0.10933999999999999,0.0889568,0.16599,0.6587143803843605,0.5359166214832219,0.0003,0.0057152483772252745
5166.0,0.10411100000000001,0.0889568,0.16599,0.6272124826796796,0.5359166214832219,0.0003,0.0057152483772252745
5310.0,0.109926,0.0889568,0.16599,0.66224471353696,0.5359166214832219,0.0003,0.0057152483772252745
5454.0,0.1104325,0.0889568,0.16599,0.6652961021748298,0.5359166214832219,0.0003,0.0057152483772252745
5598.0,0.10746700000000001,0.0889568,0.16599,0.6474305681065124,0.5359166214832219,0.0003,0.0057152483772252745
5748.0,0.10390335,0.0889568,0.16599,0.6259615037050426,0.5359166214832219,0.0003,0.0057152483772252745
5802.0,0.10745450000000001,0.0889568,0.16599,0.6473552623652028,0.5359166214832219,0.0003,0.0057152483772252745
74922.0,0.10133334999999999,0.0889568,0.16599,0.6104786432917645,0.5359166214832219,0.0003,0.0057152483772252745
75066.0,0.10215045,0.0889568,0.16599,0.6154012289896982,0.5359166214832219,0.0003,0.0057152483772252745
75210.0,0.1002354,0.0889568,0.16599,0.6038640881980842,0.5359166214832219,0.0003,0.0057152483772252745
