t (s),S,dark,blank,T_S,T_dark,l (cm),c_tot (M)
90.0,0.133214,0.0856732,0.1656245,0.804313371512065,0.5172737125244151,0.0003,0.006039653830406976
234.0,0.129677,0.0856732,0.1656245,0.7829578353444084,0.5172737125244151,0.0003,0.006039653830406976
378.0,0.1320945,0.0856732,0.1656245,0.7975541058237157,0.5172737125244151,0.0003,0.006039653830406976
528.0,0.1304595,0.0856732,0.1656245,0.7876823779090654,0.5172737125244151,0.0003,0.006039653830406976
672.0,0.1306725,0.0856732,0.1656245,0.7889684195273042,0.5172737125244151,0.0003,0.006039653830406976
816.0,0.1288155,0.0856732,0.1656245,0.7777563102077288,0.5172737125244151,0.0003,0.006039653830406976
960.0,0.129467,0.0856732,0.1656245,0.7816899069883985,0.5172737125244151,0.0003,0.006039653830406976
1104.0,0.1286735,0.0856732,0.1656245,0.776898949128903,0.5172737125244151,0.0003,0.006039653830406976
1248.0,0.128248,0.0856732,0.1656245,0.7743298847694634,0.5172737125244151,0.0003,0.006039653830406976
1398.0,0.1256585,0.0856732,0.1656245,0.7586951205890433,0.5172737125244151,0.0003,0.006039653830406976
1542.0,0.1277675,0.0856732,0.1656245,0.7714287439358307,0.5172737125244151,0.0003,0.006039653830406976
1686.0,0.126522,0.0856732,0.1656245,0.7639087212338753,0.5172737125244151,0.0003,0.006039653830406976
1830.0,0.130101,0.0856732,0.1656245,0.7855178430727338,0.5172737125244151,0.0003,0.006039653830406976
1974.0,0.1243865,0.0856732,0.1656245,0.7510150974040676,0.5172737125244151,0.0003,0.006039653830406976
2118.0,0.1259465,0.0856732,0.1656245,0.7604339937629999,0.5172737125244151,0.0003,0.006039653830406976
2268.0,0.124972,0.0856732,0.1656245,0.7545502024157054,0.5172737125244151,0.0003,0.006039653830406976
2412.0,0.126674,0.0856732,0.1656245,0.7648264598534638,0.5172737125244151,0.0003,0.006039653830406976
2556.0,0.12438750000000001,0.0856732,0.1656245,0.751021135158144,0.5172737125244151,0.0003,0.006039653830406976
2700.0,0.1270745,0.0856732,0.1656245,0.7672445803609973,0.5172737125244151,0.0003,0.006039653830406976
2844.0,0.1229375,0.0856732,0.1656245,0.7422663917475977,0.5172737125244151,0.0003,0.006039653830406976
2988.0,0.12306700000000001,0.0856732,0.1656245,0.7430482809004707,0.5172737125244151,0.0003,0.006039653830406976
3138.0,0.1249615,0.0856732,0.1656245,0.7544868059979049,0.5172737125244151,0.0003,0.006039653830406976
3282.0,0.12493850000000001,0.0856732,0.1656245,0.7543479376541514,0.5172737125244151,0.0003,0.006039653830406976
3426.0,0.12091750000000001,0.0856732,0.1656245,0.7300701285135955,0.5172737125244151,0.0003,0.006039653830406976
3570.0,0.12024099999999999,0.0856732,0.1656245,0.7259855878810199,0.5172737125244151,0.0003,0.006039653830406976
3714.0,0.121781,0.0856732,0.1656245,0.7352837291584277,0.5172737125244151,0.0003,0.006039653830406976
3858.0,0.120992,0.0856732,0.1656245,0.7305199411922753,0.5172737125244151,0.0003,0.006039653830406976
4008.0,0.11938599999999999,0.0856732,0.1656245,0.7208233081458358,0.5172737125244151,0.0003,0.006039653830406976
4152.0,0.120507,0.0856732,0.1656245,0.7275916304652995,0.5172737125244151,0.0003,0.006039653830406976
4296.0,0.122362,0.0856732,0.1656245,0.7387916642767223,0.5172737125244151,0.0003,0.006039653830406976
6120.0,0.118284,0.0856732,0.1656245,0.7141697031538208,0.5172737125244151,0.0003,0.006039653830406976
6264.0,0.1161565,0.0856732,0.1656245,0.7013243813566229,0.5172737125244151,0.0003,0.006039653830406976
6408.0,0.117235,0.0856732,0.1656245,0.7078360991278464,0.5172737125244151,0.0003,0.006039653830406976
6558.0,0.1164345,0.0856732,0.1656245,0.7030028769898172,0.5172737125244151,0.0003,0.006039653830406976
6702.0,0.1103665,0.0856732,0.1656245,0.6663657852552007,0.5172737125244151,0.0003,0.006039653830406976
6846.0,0.119199,0.0856732,0.1656245,0.7196942481335792,0.5172737125244151,0.0003,0.006039653830406976
6990.0,0.11697250000000001,0.0856732,0.1656245,0.7062511886828338,0.5172737125244151,0.0003,0.006039653830406976
7134.0,0.1130935,0.0856732,0.1656245,0.6828307406211037,0.5172737125244151,0.0003,0.006039653830406976
7278.0,0.12040200000000001,0.0856732,0.1656245,0.7269576662872945,0.5172737125244151,0.0003,0.006039653830406976
7428.0,0.1084495,0.0856732,0.1656245,0.6547914106910512,0.5172737125244151,0.0003,0.006039653830406976
7572.0,0.12345199999999999,0.0856732,0.1656245,0.7453728162198224,0.5172737125244151,0.0003,0.006039653830406976
7716.0,0.115143,0.0856732,0.1656245,0.695205117600355,0.5172737125244151,0.0003,0.006039653830406976
7860.0,0.11722,0.0856732,0.1656245,0.7077455328167028,0.5172737125244151,0.0003,0.006039653830406976
8004.0,0.1079445,0.0856732,0.1656245,0.6517423448825506,0.5172737125244151,0.0003,0.006039653830406976
8148.000000000001,0.11269499999999999,0.0856732,0.1656245,0.6804246956217226,0.5172737125244151,0.0003,0.006039653830406976
88320.0,0.0944807,0.0856732,0.1656245,0.5704512315508877,0.5172737125244151,0.0003,0.006039653830406976
88464.0,0.09492455,0.0856732,0.1656245,0.5731310886976262,0.5172737125244151,0.0003,0.006039653830406976
88608.0,0.08644725,0.0856732,0.1656245,0.5219472360671278,0.5172737125244151,0.0003,0.006039653830406976
88758.0,0.09199009999999999,0.0856732,0.1656245,0.5554136012486075,0.5172737125244151,0.0003,0.006039653830406976
88902.0,0.09340385,0.0856732,0.1656245,0.56394947607389,0.5172737125244151,0.0003,0.006039653830406976
